company_name,brand_name,category_name,subcategory_name,global_sku,product_title,product_short_title,product_slug,short_description,description,bullet_points,usage_instructions,storage_instructions,safety_warning,country_of_origin,status,variant_sku,variant_name,pack_size,pack_unit,flavour,age_group,pet_type,mrp,min_price,max_price,variant_description,is_default_variant,primary_image_url,gallery_image_url_1,gallery_image_url_2,gallery_image_url_3,gallery_image_url_4,gallery_image_url_5,external_source,external_product_id,notes_internal
"","Billi","Cat Food","Dry Food","BILLI-KIT-TU-500","Billi Kitten Dry Cat Food Real Tuna","Billi Kitten Tuna 500g","","Kitten dry food with real tuna.","Dry food for kittens. Real tuna. Supports healthy growth.","Real tuna|Kitten formula|Growth","Feed as directed. Provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","BILLI-KIT-TU-500","500g","500","g","Tuna","Kitten","Cat","260","","","Real tuna 500g.","false","https://media.mewmewshopbd.com/uploads/media-manager/2025/04/11-1743611115.jpg","","","","","","mewmewshopbd","billi-kitten-dry-cat-food-real-tuna-500g","Mew Mew Shop BD"
"","Purina Friskies","Cat Food","Dry Food","FRISKIES-KIT-1","Purina Friskies Kitten Discoveries Cat Dry Food","Friskies Kitten 1kg","","Kitten discoveries dry food.","Complete dry food for kittens. Discoveries range. Balanced nutrition for growth.","Kitten formula|Complete nutrition|Growth","Feed as per guide. Provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","FRISKIES-KIT-1","1kg","1","kg","","Kitten","Cat","800","","","Kitten 1kg.","true","https://media.mewmewshopbd.com/uploads/media-manager/2021/08/1719306496_purina-friskies-kitten-discoveries-dry-cat-food-1kg-1732701343.jpeg","","","","","","mewmewshopbd","purina-friskies-kitten-discoveries-cat-dry-food-1kg","Mew Mew Shop BD"
"","Purina ONE","Cat Food","Dry Food","ONE-KIT-CH-380","Purina ONE Healthy Kitten with Chicken Dry Cat Food","Purina ONE Kitten 380g","","Healthy kitten formula with chicken.","Premium dry food for kittens. Chicken. Supports immune system and growth.","Chicken|Immune support|Growth","Feed as directed. Fresh water always.","Store in a cool, dry place. Reseal after opening.","Not for human consumption.","Thailand","active","ONE-KIT-CH-380","380g","380","g","","Kitten","Cat","820","","","Chicken 380g.","true","https://media.mewmewshopbd.com/uploads/media-manager/2025/04/whatsapp-image-2025-04-25-at-204355_e4e4eac8-1745840076.jpg","","","","","","mewmewshopbd","purina-one-healthy-kitten-with-chicken-dry-cat-food-380g","Mew Mew Shop BD"
"","Purina ONE","Cat Food","Dry Food","ONE-ADULT-ST-380","Purina ONE Healthy Adult with Salmon and Tuna Dry Cat Food","Purina ONE Adult 380g","","Healthy adult formula with salmon and tuna.","Premium dry food for adult cats. Salmon and tuna. Supports coat and vitality.","Salmon and tuna|Coat health|Vitality","Feed as directed. Provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","ONE-ADULT-ST-380","380g","380","g","Salmon and Tuna","Adult","Cat","820","","","Salmon and tuna 380g.","false","https://media.mewmewshopbd.com/uploads/media-manager/2025/04/whatsapp-image-2025-04-25-at-204536_f0c61254-1745841299.jpg","","","","","","mewmewshopbd","purina-one-healthy-adult-with-salmon-and-tuna-dry-cat-food-380g","Mew Mew Shop BD"
"","Zoi","Cat Food","Dry Food","ZOI-MIX-10","Zoi Cat Mix Flavour Cat Food","Zoi Cat 10kg","","Mix flavour cat food in 10kg pack.","Dry food for cats. Multiple flavours. Economy pack 10kg.","Mix flavour|Economy pack|10kg","Feed as per body weight. Provide water.","Store in a cool, dry place. Keep bag sealed.","Not for human consumption.","Thailand","active","ZOI-MIX-10","10kg","10","kg","Mix","Adult","Cat","3400","","","Mix flavour 10kg.","true","https://media.mewmewshopbd.com/uploads/media-manager/2025/03/zoi-cat-1741898086.jpg","","","","","","mewmewshopbd","zoi-cat-mix-flavour-cat-food-10kg","Mew Mew Shop BD"
"","Pramy","Cat Treats","Dry Treats","PRAMY-CH-50","Pramy Nutri Treat Dry Cat Treat Chicken","Pramy Chicken 50g","","Dry cat treat with chicken.","Crunchy treat for cats. Chicken flavour. Training or reward.","Chicken|Crunchy|Training reward","Give as treat. Do not replace meals.","Store in a cool, dry place. Reseal after opening.","Not for human consumption.","Thailand","active","PRAMY-CH-50","50g","50","g","Chicken","Adult","Cat","250","","","Chicken 50g.","true","https://media.mewmewshopbd.com/uploads/media-manager/2025/04/sp-pramy-nutri-treat-sku-website-aw-1-1000x1000-1744270670.jpg","","","","","","mewmewshopbd","pramy-nutri-treat-dry-cat-treat-chicken-50gm","Mew Mew Shop BD"
"","Pramy","Cat Treats","Dry Treats","PRAMY-LAMB-50","Pramy Nutri Treat Dry Cat Treat Lamb","Pramy Lamb 50g","","Dry cat treat with lamb.","Crunchy treat for cats. Lamb flavour. Training or reward.","Lamb|Crunchy|Training reward","Give as treat. Do not replace meals.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","PRAMY-LAMB-50","50g","50","g","Lamb","Adult","Cat","250","","","Lamb 50g.","false","https://media.mewmewshopbd.com/uploads/media-manager/2025/02/pramy-nutri-treat-dry-cat-treat-lamb-50gm-1739374866.jpg","","","","","","mewmewshopbd","pramy-nutri-treat-dry-cat-treat-lamb-50gm","Mew Mew Shop BD"
"Mars Petcare","Royal Canin","Cat Food","Dry Food","RC-PERSIAN-KIT","Royal Canin Persian Kitten Cat Food","RC Persian Kitten","","Breed-specific nutrition for Persian kittens.","Tailored nutrition for Persian breed kittens. Supports digestion, coat and immunity.","Persian breed|Kitten|Breed-specific","Feed according to feeding guide. Provide water.","Store in a cool, dry place away from direct sunlight.","Not for human consumption. Keep away from children.","France","active","RC-PERSIAN-KIT","500g","500","g","","Kitten","Cat","600","","","Persian kitten 500g.","true","","","","","","","petzonebd","royal-canin-persian-kitten-cat-food","Pet Zone BD. Price range ৳600–৳10,000."
"Mars Petcare","Royal Canin","Cat Food","Dry Food","RC-SECOND-AGE","Royal Canin Second Age Kitten Cat Food","RC Second Age Kitten","","Second age kitten formula.","Nutrition for kittens in second growth phase. Supports digestive health and immunity.","Second age|Kitten|Digestive health","Feed as per guide. Always provide water.","Store in a cool, dry place.","Not for human consumption.","France","active","RC-SECOND-AGE","2kg","2","kg","","Kitten","Cat","4700","","","Second age 2kg.","true","","","","","","","petzonebd","royal-canin-second-age-kitten-cat-food","Pet Zone BD. Price ৳650–৳4,700."
"Mars Petcare","Royal Canin","Cat Food","Wet Food","RC-WET-INDOOR-JELLY-85","Royal Canin Wet Food Pouch Indoor Sterilised in Jelly","RC Wet Indoor Jelly 85g","","Wet cat food for indoor sterilised cats. Jelly.","Wet food pouch for indoor sterilised cats. In jelly. 85g. Complete nutrition.","Indoor|Sterilised|Jelly","Feed as treat or supplement. Do not replace main diet without vet advice.","Store in a cool, dry place. Refrigerate after opening.","Not for human consumption.","France","active","RC-WET-INDOOR-JELLY-85","85g pouch","85","g","","Adult","Cat","150","","","Indoor sterilised jelly 85g.","true","","","","","","","petzonebd","royal-canin-wet-food-pouch-indoor-sterilised-in-jelly-85g","Pet Zone BD"
"Mars Petcare","Royal Canin","Cat Food","Wet Food","RC-WET-KIT-JELLY-85","Royal Canin Wet Food Pouch Kitten in Jelly","RC Wet Kitten Jelly 85g","","Wet kitten food in jelly. 85g pouch.","Wet food for kittens. In jelly. 85g. Supports growth.","Kitten|Jelly|Growth","Feed as supplement. Provide water.","Refrigerate after opening.","Not for human consumption.","France","active","RC-WET-KIT-JELLY-85","85g pouch","85","g","","Kitten","Cat","150","","","Kitten jelly 85g.","true","","","","","","","petzonebd","royal-canin-wet-food-pouch-kitten-in-jelly-85g","Pet Zone BD"
"Mars Petcare","Royal Canin","Dog Food","Dry Food","RC-MAXI-ADULT-4","Royal Canin Maxi Adult Dry Dog Food","RC Maxi Adult 4kg","","Dry food for large adult dogs.","Complete dry food for large breed adult dogs. Supports joint and digestive health.","Large breed|Adult|Joint support","Feed according to body weight. See pack. Provide water.","Store in a cool, dry place. Keep bag closed.","Not for human consumption.","France","active","RC-MAXI-ADULT-4","4kg","4","kg","","Adult","Dog","5500","","","Maxi adult 4kg.","true","","","","","","","petzonebd","royal-canin-maxi-adult-dry-dog-food-4kg","Pet Zone BD"
"Mars Petcare","Pedigree","Dog Food","Dry Food","PED-ADULT-CV-3","Pedigree Adult Dry Dog Food Chicken & Vegetables","Pedigree Adult 3kg","","Complete adult dog food. Chicken and vegetables.","Dry food for adult dogs. Chicken and vegetables flavour. Complete and balanced nutrition. Made in Thailand.","Chicken and vegetables|Complete nutrition|Adult","Feed according to body weight. See pack. Provide water.","Store in a cool, dry place. Keep bag sealed.","Not for human consumption. Keep away from children.","Thailand","active","PED-ADULT-CV-3","3kg","3","kg","Chicken & Vegetables","Adult","Dog","950","","","Chicken and vegetables 3kg.","true","","","","","","","daraz","pedigree-adult-dry-dog-food-chicken-and-vegetables-flavor-3kg-pack","Daraz / Miki Pet Store. Price approx ৳950."
"Mars Petcare","Pedigree","Dog Food","Dry Food","PED-ADULT-CV-10","Pedigree Adult Dry Dog Food Chicken & Vegetables","Pedigree Adult 10kg","","Complete adult dog food. Chicken and vegetables. 10kg pack.","Dry food for adult dogs. Chicken and vegetables. 10kg. Made in Thailand.","Chicken and vegetables|10kg|Adult","Feed as per guide. Provide water.","Store in a cool, dry place.","Not for human consumption.","Thailand","active","PED-ADULT-CV-10","10kg","10","kg","Chicken & Vegetables","Adult","Dog","2950","","","Chicken and vegetables 10kg.","false","","","","","","","daraz","pedigree-adult-dry-dog-food-chicken-vegetables-flavour-10kg-pack","Daraz. Price approx ৳2,950."
"Mars Petcare","Pedigree","Dog Food","Dry Food","PED-ADULT-CV-20","Pedigree Adult Dry Dog Food Chicken & Vegetables","Pedigree Adult 20kg","","Complete adult dog food. 20kg economy pack.","Dry food for adult dogs. Chicken and vegetables. 20kg. Made in Thailand.","Chicken and vegetables|20kg|Economy","Feed as per guide. Provide water.","Store in a cool, dry place. Keep bag sealed.","Not for human consumption.","Thailand","active","PED-ADULT-CV-20","20kg","20","kg","Chicken & Vegetables","Adult","Dog","4950","","","Chicken and vegetables 20kg.","false","","","","","","","mikipetstore","pedigree-adult-20kg","Miki Pet Store. Price approx ৳4,950."
"Mars Petcare","Whiskas","Cat Food","Wet Food","WH-WET-85","Whiskas Wet Cat Food Pouch","Whiskas Wet 85g","","Wet cat food in pouch. 85g.","Wet food for cats. Available in various flavours. 85g pouch. Irresistible taste.","Wet food|85g|Multiple flavours","Feed as meal or treat. Provide water.","Store in a cool, dry place. Refrigerate after opening.","Not for human consumption.","Thailand","active","WH-WET-85","85g","85","g","Ocean Fish","Adult","Cat","85","","","Ocean fish 85g.","true","","","","","","","mewmewshopbd","whiskas-wet-ocean-fish-85g","Mew Mew / Pet Zone. Whiskas wet ৳80–85. Flavour varies."
